"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"DST","Texans ",3800,"JAX@HOU 01:00PM ET",6.222,"HOU"
"WR","Marqise Lee",3800,"JAX@HOU 01:00PM ET",11.588,"JAX"
"WR","Will Fuller V",3800,"JAX@HOU 01:00PM ET",9.156,"HOU"
"WR","Kenny Stills",3800,"TB@MIA 01:00PM ET",10.871,"MIA"
"RB","Damien Williams",3800,"TB@MIA 01:00PM ET",6.450,"MIA"
"WR","Nelson Agholor",3800,"PHI@WAS 01:00PM ET",5.860,"PHI"
"RB","Wendell Smallwood",3800,"PHI@WAS 01:00PM ET",4.131,"PHI"
"WR","Tavon Austin",3800,"IND@LAR 04:05PM ET",9.853,"LAR"
"WR","Jeremy Kerley",3800,"CAR@SF 04:25PM ET",9.419,"SF"
"RB","Shane Vereen",3800,"NYG@DAL 08:30PM ET",8.040,"NYG"
"WR","Terrance Williams",3800,"NYG@DAL 08:30PM ET",8.071,"DAL"
"WR","Malcolm Mitchell",3700,"KC@NE 08:30PM ET",6.507,"NE"
"WR","ArDarius Stewart",3700,"NYJ@BUF 01:00PM ET",0,"NYJ"
"WR","Brandon LaFell",3700,"BAL@CIN 01:00PM ET",11.813,"CIN"
"WR","J.J. Nelson",3700,"ARI@DET 01:00PM ET",9.540,"ARI"
"DST","Jaguars ",3700,"JAX@HOU 01:00PM ET",4.500,"JAX"
"RB","Jeremy McNichols",3700,"TB@MIA 01:00PM ET",0,"TB"
"WR","Torrey Smith",3700,"PHI@WAS 01:00PM ET",5.392,"PHI"
"RB","Chris Thompson",3700,"PHI@WAS 01:00PM ET",9.281,"WAS"
"TE","Jack Doyle",3700,"IND@LAR 04:05PM ET",9.150,"IND"
"WR","Cooper Kupp",3700,"IND@LAR 04:05PM ET",0,"LAR"
"WR","Paul Richardson",3700,"SEA@GB 04:25PM ET",4.847,"SEA"
"RB","Aaron Jones",3700,"SEA@GB 04:25PM ET",0,"GB"
"RB","Fozzy Whittaker",3700,"CAR@SF 04:25PM ET",4.756,"CAR"
"WR","Mike Williams",3700,"LAC@DEN 10:20PM ET",0,"LAC"
"RB","Benny Cunningham",3600,"ATL@CHI 01:00PM ET",2.933,"CHI"
"WR","Tyler Boyd",3600,"BAL@CIN 01:00PM ET",7.819,"CIN"
"DST","Steelers ",3600,"PIT@CLE 01:00PM ET",6.579,"PIT"
"WR","JuJu Smith-Schuster",3600,"PIT@CLE 01:00PM ET",0,"PIT"
"TE","Eric Ebron",3600,"ARI@DET 01:00PM ET",10.607,"DET"
"WR","Kenny Golladay",3600,"ARI@DET 01:00PM ET",0,"DET"
"RB","Chris Ivory",3600,"JAX@HOU 01:00PM ET",9.136,"JAX"
"WR","Adam Humphries",3600,"TB@MIA 01:00PM ET",9.067,"TB"
"WR","Taywan Taylor",3600,"OAK@TEN 01:00PM ET",0,"TEN"
"WR","Jeff Janis",3600,"SEA@GB 04:25PM ET",1.900,"GB"
